ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
c_chzz,6575,407,2021-05-05,15:58:12,0,1,"['광고', '클라뷰', 'klavuu', '파란숨캠페인', '숨쉬는바다', '바다숲만들기', '미세플라스틱없는바다', 'BlueBreath', '올리브영추천템', '퀵클렌징패드', '필링젤']",c_chzz_13.png,216
c_chzz,6575,407,2021-04-26,18:32:05,1,0,['태아샷'],c_chzz_14.png,322
s__r_na,1015,305,2021-06-09,17:18:58,0,0,"['팔로워', '맞팔', '선팔하면맞팔', '맞팔환영', '맞팔선팔', '부산', '맞팔해요', 'likeforfollow', 'follow4followback', 'likeforlikes', 'selfie', 'followback', 'f4f', 'daily', 'f4follow', 'followme', 'follow', 'likeforfollow', 'followforfollowback', '좋아요', '좋아요반사', '좋반', 'like4likes', '첫줄', '01', '고등학생', '데일리', '셀스타그램', '19살', '먹스타그램', '맞팔100']",s__r_na_6.png,158
kimsogeum____,103,36,2021-06-08,15:47:52,0,0,['소금'],kimsogeum_____5.png,197
kimsogeum____,103,36,2021-06-04,13:03:22,0,0,['소금'],kimsogeum_____6.png,191
kimsogeum____,103,36,2021-05-28,15:10:49,0,0,"['소금', '뮤니쿤트']",kimsogeum_____8.png,195
kimsogeum____,103,36,2021-05-25,22:04:25,0,0,['소금'],kimsogeum_____9.png,158
kimsogeum____,103,36,2021-05-12,17:28:06,0,0,['소금'],kimsogeum_____11.png,190
kimsogeum____,103,36,2021-05-02,17:32:41,1,0,['소금'],kimsogeum_____12.png,163
kimsogeum____,103,36,2021-05-01,17:04:52,0,0,['소금'],kimsogeum_____13.png,146
kimsogeum____,103,36,2021-04-30,17:13:11,1,0,['소금'],kimsogeum_____14.png,136
__yj.yh_,533,121,2021-06-09,10:44:09,0,0,"['캠핑카', '수요팅', 'daily', 'instagood', 'instadaily', 'f4f', 'fff', 'like4like', 'ootd', 'saltlife', '직장인', '직장인스타그램', '맞팔100', '직딩', '좋아요반사', '좋아요테러', '좋반']",__yj.yh__9.png,284
