ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
joilbag,850,1763,2021-06-08,22:26:06,0,0,"['사쿠라테이엔마곡나루점', '마곡맛집', '마곡나루맛집', '강서구맛집', '마곡술집', '마곡나루역맛집', '마곡핫플', '마곡나루데이트', '강서구데이트', '마곡나루맛집추천', '마곡회식장소', '마곡나루외식', '강서구핫플레이스', '마곡맛집사쿠라엔방문', '좋아요그램', '좋아요폭탄', '선팔은맞팔', '인스타일상', '맞팔100', '맞팔은댓글']",joilbag_15.png,21
joilbag,850,1763,2021-06-08,14:14:57,0,0,"['명동라라의원', '다이어트', '식욕억제제', '라라의원', '다이어트약', '명동라라', '맞팔', '좋아요폭탄', '좋아요반사테러', '댓글은맞팔', '맞팔그램']",joilbag_16.png,139
joilbag,850,1763,2021-06-08,07:07:30,0,0,"['온라인판매', '해외구매대행', '구매대행사이트', '해외전문구매대행', '라메종드', '맛팔가요', '좋아요', '좋아요굿', '댓글소통', '대글달면맞팔', '좋아요환영']",joilbag_17.png,119
joilbag,850,1763,2021-06-08,00:03:41,0,0,"['춘천감자빵', '감자빵택배', '감자빵배달', '춘천카페', '감자빵', '맛팔가요', '맞팔해요', '선팔은맞팔', '소통해요', '대글달면맞팔', '맞팔가요']",joilbag_18.png,373
joilbag,850,1763,2021-06-07,18:48:00,0,0,"['파주맛집', '파주가볼만한곳', '파주맛집추천', '파주핫플', '파주여행', '파주맛집', '별빛캠핑식당방문', '선팔', '좋아요테러', '좋아요팔로우', '인스타일상', '소통그램', '맞팔은댓글']",joilbag_19.png,194
joilbag,850,1763,2021-06-02,02:29:38,0,0,"['주안네일', '502네일방문', '주안맛집', '인천메이크업', '주안동맛집', '502네일', '주안동카페', '주안역네일', '주안동네일', '네일추천', '인천네일아트', '주안역카페', '인천네일아트샵', '인천업스타일', '인천행사메이크업', '네일스타그램', '예쁜네일', '맞팔', '좋아요테러', '좋아요스타그램', '맞팔대환영', '소통그램', '맞팔댓']",joilbag_20.png,11
joilbag,850,1763,2021-05-31,14:49:36,0,0,"['키즈펜션', '강원도키즈펜션', '강원도가볼만한곳', '횡성펜션', '수영장펜션', '강원도수영장펜션', '평창가볼만한곳', '횡성가볼만한곳', '키즈펜션', '숲속의요정펜션방문', '좋아요', '선팔은맞팔', '댓글맞팔', '맞팔그램']",joilbag_21.png,373
joilbag,850,1763,2021-05-31,00:46:25,0,0,"['꽈르띠에인천검단점방문', '검단맛집추천', '인천맛집', '인천맛집추천', '검단꽈르띠에', '검단신도시맛집', '마전역맛집', '검단맛집', '인천검단맛집', '마전역데이트', '인천데이트', '인생꽈배기', '데이트', '원당동맛집', '인천검단', '검단신도시맛집추천', '데일리', '인생맛집', '좋아요가요', '좋아요테러', '좋아요팔로우', '좋아요테러환영', '맞팔은댓', '맞팔가요']",joilbag_22.png,11
joilbag,850,1763,2021-05-30,03:37:49,0,0,"['제천맛집', '제천데이트', '제천가볼만한곳', '고암동맛집', '빈체로제천점방문', '제천여행', '빈체로제천점', '제천카페', '의림지맛집', '의림지데이트', '제천비행장', '제천커피', '의림지카페', '제천브런치', '의림지', '좋아요그램', '좋아요테러반사', '좋아요스타그램', '맞팔대환영', '맞팔좋아요', '맞팔은댓글']",joilbag_23.png,9
joilbag,850,1763,2021-05-29,06:28:51,0,0,"['맛집인정', '먹스타그램', 'ㅤㅊㅘㅂㅤㅊㅘㅂ', '일산해물솥밥', '모랑웨스턴돔점방문', '해물솥밥맛집', '웨스턴돔맛집', '모랑웨스턴돔점', '일산맛집', '웨돔맛집', '웨스턴돔해물솥밥', '웨스턴돔맛집추천', '웨돔데이트', '고양맛집추천', '인생맛집', '웨돔맛집추천', '일산데이트', '고양맛집', '강추', '좋아요그램', '좋아요테러반사', '좋아요굿', '좋아요좋아요', '소통그램', '맞팔선팔환영']",joilbag_24.png,14
