ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
no.1_twinkleen,2173,1209,2021-06-07,11:33:49,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '줄눈', 'fff', 'f4f', '필름시공', '주거공간', '상업공간', '인테리어', '리모델링', '디어디자인하우스', '사업확장', '축하']",no.1_twinkleen_7.png,500
no.1_twinkleen,2173,1209,2021-06-06,13:35:05,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '줄눈', 'fff', 'f4f', '필름시공', '주거공간', '상업공간', '인테리어', '리모델링', '디어디자인하우스', '사업확장', '축하']",no.1_twinkleen_8.png,511
no.1_twinkleen,2173,1209,2021-06-03,19:57:19,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '줄눈', 'fff', 'f4f', '필름시공', '주거공간', '상업공간', '인테리어', '리모델링', '디어디자인하우스', '사업확장', '축하']",no.1_twinkleen_10.png,376
no.1_twinkleen,2173,1209,2021-05-12,22:06:14,1,1,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '줄눈', 'fff', 'f4f', '필름시공', '주거공간', '상업공간', '인테리어', '리모델링', '디어디자인하우스', '사업확장', '축하']",no.1_twinkleen_11.png,452
no.1_twinkleen,2173,1209,2021-05-10,20:33:32,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '줄눈', 'fff', 'f4f', '필름시공', '주거공간', '상업공간', '인테리어', '리모델링', '디어디자인하우스', '사업확장', '축하']",no.1_twinkleen_12.png,668
no.1_twinkleen,2173,1209,2021-03-21,17:16:52,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '인테리어', '줄눈', 'fff', 'f4f', '시트지시공', '시트지']",no.1_twinkleen_13.png,349
no.1_twinkleen,2173,1209,2021-03-20,13:23:00,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '인테리어', '줄눈', 'fff', 'f4f', '시트지시공', '시트지']",no.1_twinkleen_14.png,377
no.1_twinkleen,2173,1209,2021-03-18,19:38:00,1,0,"['청소업체', '트윙클린', '입주청소', '이사청소', '상가청소', '외창관리', '새집증후군', '광택코팅', '마루코팅', '일상', '소통', '좋반', '선팔맞팔', '댓글소통', '인테리어', '줄눈', 'fff', 'f4f', '시트지시공', '시트지']",no.1_twinkleen_15.png,371
soom_inkim,2431,942,2021-06-07,22:13:34,1,3,"['cruella', 'photoshoot', 'blackandwhite', 'grey', 'photography']",soom_inkim_8.png,171
soom_inkim,2431,942,2021-06-05,22:15:42,1,0,"['dailygram', 'hiarcolor', 'cut', 'hiarcute', 'ootdfashion', 'dancer', 'choreographer', 'fashionstyle', 'todaymood']",soom_inkim_10.png,218
