ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
0211_s,1547,290,2021-06-05,15:10:01,0,1,"['샴푸', '샴푸추천', '탈모샴푸', '탈모샴푸추천', '맥주효모샴푸', '트리트먼트', '트리트먼트추천', '바디워시', '약산성샴푸', '미용실샴푸', '향기좋은샴푸', '천연샴푸', '두피샴푸', '앙방추천', '앙방', '앙방샴푸']",0211_s_5.png,646
0211_s,1547,290,2021-06-03,13:26:00,1,0,"['첫줄좋반', '첫줄반사', '첫줄', '좋아요반사', '좋아요테러', '좋아요', '좋반', '좋반테러', '좋반환영', '맞팔', '맞팔해요', '맞팔선팔환영', '셀카', '셀피', '인스타그램', '얼스타그램', '셀스타그램', 'selfie', 'selca', 'selstagram', 'followforfollowback', 'likeforfollow', 'like4likes', 'likeforlikes', 'ootd', '00', '99', '청주카페', '에클로그']",0211_s_6.png,580
0211_s,1547,290,2021-05-28,10:57:37,1,0,"['첫줄좋반', '첫줄반사', '첫줄', '좋아요반사', '좋아요테러', '좋아요', '좋반', '좋반테러', '좋반환영', '맞팔', '맞팔해요', '맞팔선팔환영', '셀카', '셀피', '인스타그램', '얼스타그램', '셀스타그램', 'selfie', 'selca', 'selstagram', 'followforfollowback', 'likeforfollow', 'like4likes', 'likeforlikes', 'ootd', '00', '99', '청주', '슴둘']",0211_s_8.png,579
0211_s,1547,290,2021-05-27,16:06:46,0,0,"['가경동속눈썹펌', '가경동눈빛brow', '가경동속눈썹', '청주눈빛']",0211_s_9.png,277
0211_s,1547,290,2021-05-25,18:04:16,1,1,"['ATVT', '천사연구소', '아르투아', 'artois', '아르투아바디로션', '바디로션', '바디로션추천', '바디로순위', '바디로션향수', '향수로션', '바디크림', '니치향수']",0211_s_10.png,196
univ20000,169,107,2021-06-09,12:16:21,0,0,"['맞팔해요', 'follow4follow', '좋아요반사', '좋반', '댓글', '선팔하면맞팔', '선팔', '셀스타그램', '셀피', '인친', '소통', 'follow', 'l4l', 'followme', '좋아요', '사진', 'likeforfollow', 'selfie', '좋반테러', 'instagood', 'instadaily', 'lfl', 'like4like', '첫줄', '첫줄반사', 'ootd', '일상', '그림', '데일리']",univ20000_9.png,135
univ20000,169,107,2021-06-04,12:48:37,0,0,"['맞팔해요', 'follow4follow', '좋아요반사', '좋반', '댓글', '선팔하면맞팔', '선팔', '셀스타그램', '셀피', '인친', '소통', 'follow', 'l4l', 'followme', '좋아요', '사진', 'likeforfollow', 'selfie', '좋반테러', 'instagood', 'instadaily', 'lfl', 'like4like', '첫줄', '첫줄반사', 'ootd', '일상', '그림', '데일리']",univ20000_13.png,169
univ20000,169,107,2021-05-28,12:11:01,0,0,"['맞팔해요', 'follow4follow', '좋아요반사', '좋반', '댓글', '선팔하면맞팔', '선팔', '셀스타그램', '셀피', '인친', '소통', 'follow', 'l4l', 'followme', '좋아요', '사진', 'likeforfollow', 'selfie', '좋반테러', 'instagood', 'instadaily', 'lfl', 'like4like', '첫줄', '첫줄반사', 'ootd', '일상', '그림', '데일리', 'likeforlikes']",univ20000_17.png,260
univ20000,169,107,2021-05-27,10:44:11,0,0,"['맞팔해요', 'follow4follow', '좋아요반사', '좋반', '댓글', '선팔하면맞팔', '선팔', '셀스타그램', '셀피', '인친', '소통', 'follow', 'l4l', 'followme', '좋아요', '사진', 'likeforfollow', 'selfie', '좋반테러', 'instagood', 'instadaily', 'lfl', 'like4like', '첫줄', '첫줄반사', 'ootd', '일상', '그림', '데일리']",univ20000_18.png,82
peanuts__case,4110,319,2021-06-11,09:42:44,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '귀여운에어팟케이스', '에어팟프로', '에어팟프로케이스추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '심플에어팟케이스', '첫줄좋반', '선팔', '선팔맞팔', '에어팟프로케이스', '맞팔선팔환영', '좋반', '좋아요반사', '첫줄', '첫줄반사', '에어팟꽃키링', '에어팟프로', '에어팟꽃케이스', '에어팟실리콘케이스']",peanuts__case_13.png,330
peanuts__case,4110,319,2021-06-11,09:40:07,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '에어팟2세대케이스', '에어팟키링추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '첫줄테러', '첫줄좋반', '선팔', '선팔맞팔', '에어팟2', '맞팔선팔환영', '좋반', '좋아요반사', '아보카도케이스', '좋반테러', '에어팟실리콘케이스', '첫줄', '아보카도키링', '아보카도에어팟케이스']",peanuts__case_14.png,390
