ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
lovesome_2o,667,311,2021-06-09,18:35:40,0,0,['공주님'],lovesome_2o_4.png,275
lovesome_2o,667,311,2021-06-07,14:17:05,0,0,['좋반테러'],lovesome_2o_6.png,247
lovesome_2o,667,311,2021-06-02,01:34:57,0,0,['존예'],lovesome_2o_9.png,269
lindalexies,1367,284,2021-06-01,12:57:51,1,0,"['코리아승무원학원', '코리아승무원학원민경쌤', '코리아승무원아카데미', '코리아승무원학원강남점', '코리아승무원학원서포터즈', '인하공전', '수과대', '한서대', '한양여대', '예승이', '인하공업전문대학항공운항과']",lindalexies_7.png,678
lindalexies,1367,284,2021-05-18,23:52:11,0,0,"['코리아승무원학원', '코리아승무원학원민경쌤', '코리아승무원아카데미', '코리아승무원학원강남점', '코리아승무원학원서포터즈']",lindalexies_8.png,338
lindalexies,1367,284,2021-05-01,18:42:25,0,1,"['코리아승무원학원', '코리아승무원학원민경쌤', '코리아승무원아카데미', '코리아승무원학원강남점', '코리아승무원학원서포터즈']",lindalexies_9.png,777
lindalexies,1367,284,2021-04-21,19:32:52,0,0,"['코리아승무원학원', '코리아승무원학원민경쌤', '코리아승무원아카데미', '코리아승무원학원강남점', '코리아승무원학원서포터즈']",lindalexies_10.png,652
lindalexies,1367,284,2021-04-02,19:03:07,1,0,"['코리아승무원학원', '코리아승무원학원민경쌤', '코리아승무원아카데미', '코리아승무원학원강남점', '코리아승무원학원서포터즈']",lindalexies_12.png,380
seokmin_52,966,187,2021-05-29,15:37:35,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_8.png,442
seokmin_52,966,187,2021-05-29,15:34:45,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_9.png,275
seokmin_52,966,187,2021-05-28,18:12:10,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_11.png,291
seokmin_52,966,187,2021-05-28,18:09:06,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_12.png,290
seokmin_52,966,187,2021-05-08,20:30:35,0,1,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_13.png,262
seokmin_52,966,187,2021-05-08,20:26:50,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '레인보우키즈반', 'taekwondo', '팔공초등학교', '연경초등학교', '이시아사범님', '연경동맛집', '점프스타줄넘기클럽']",seokmin_52_14.png,310
seokmin_52,966,187,2021-05-05,15:27:06,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '태권도', 'taekwondo', 'taekwondomaster', '태권도사범', '이시아사범님', '사범님일상', '점프스타줄넘기클럽']",seokmin_52_15.png,230
seokmin_52,966,187,2021-05-05,15:25:25,0,0,"['이시아태권도', '글로벌태권스쿨', '글로벌이시아태권스쿨', '이시아폴리스', '봉무동태권도', '불로동태권도', '연경동태권도', '봉무동줄넘기', '이시아유치부', '봉무동유치부', '봉무초등학교', '해서초등학교', '영신초등학교', '영신유치원', '호수유치원', '위즈숲유치원', '리움유치원', '봉무병설유치원', '해서병설유치원', '원더랜드', '키즈칼리지', '도동어린이집', '단비어린이집', '태권도', 'taekwondo', 'taekwondomaster', '태권도사범', '이시아사범님', '사범님일상', '점프스타줄넘기클럽']",seokmin_52_16.png,213
